Product_ID,Price,Units_Sold,Sales,Date,Category,Discount,Store_Location,Customer_ID
P0075,47.48,39.0,1851.7199999999998,2023-03-28,Electronics,15.0,California,C0135
P0032,375.96,63.0,23685.48,2023-11-02,Accessories,0.0,Texas,C0201
P0008,130.84,33.0,4317.72,2023-05-07,Accessories,0.0,New York,C0027
P0035,447.16,71.0,31748.36,2023-12-28,Food,15.0,Illinois,C0100
P0046,369.39,54.0,19947.059999999998,2023-05-01,Food,0.0,New York,C0038
P0035,270.02,32.0,8640.64,2023-06-16,Electronics,10.0,Illinois,C0295
P0088,70.05,38.0,2661.9,2023-12-18,Electronics,10.0,Illinois,C0098
P0076,8.73,68.0,593.64,2023-05-03,Electronics,5.0,Florida,C0245
P0010,216.04,2.0,432.08,2023-12-06,Accessories,0.0,California,C0195
P0017,59.69,91.0,5431.79,2023-09-27,Clothing,15.0,California,C0149
P0090,206.45,87.0,17961.149999999998,2023-07-08,Electronics,10.0,Texas,C0234
P0040,162.19,75.0,12164.25,2023-05-26,Clothing,10.0,California,C0023
P0071,161.16,77.0,12409.32,2023-06-21,Furniture,0.0,Florida,C0165
P0039,322.48,39.0,12576.720000000001,2023-05-02,Electronics,,Texas,C0084
P0074,43.04,,258.24,2023-11-26,Furniture,10.0,Illinois,C0293
P0046,186.74,4.0,746.96,2023-11-28,Clothing,20.0,California,C0177
P0011,187.16,95.0,17780.2,2023-03-09,Accessories,5.0,Illinois,C0214
P0015,384.56,46.0,17689.76,2023-08-20,Accessories,10.0,Florida,C0154
P0047,452.62,82.0,37114.840000000004,2023-09-05,Electronics,15.0,Florida,C0242
P0063,157.47,63.0,9920.61,2023-02-27,Accessories,0.0,Florida,C0053
P0087,324.73,83.0,26952.59,2023-08-30,Accessories,15.0,Texas,C0112
P0083,362.96,92.0,33392.32,2023-08-04,Food,5.0,Florida,C0216
P0019,117.55,69.0,8110.95,2023-11-27,Accessories,0.0,Illinois,C0137
P0097,173.96,84.0,14612.640000000001,2023-10-31,,20.0,Illinois,C0264
P0018,467.39,49.0,22902.11,2023-05-23,Electronics,0.0,Florida,C0220
P0043,148.54,54.0,8021.16,2023-03-14,Clothing,0.0,California,C0244
P0092,341.79,81.0,27684.99,2023-11-16,Food,5.0,Texas,C0057
P0048,376.25,3.0,1128.75,2023-07-16,Accessories,20.0,Texas,C0259
P0016,428.45,65.0,27849.25,2023-02-28,Furniture,10.0,Florida,C0073
P0089,493.6,18.0,8884.800000000001,2023-08-17,,5.0,New York,C0058
P0040,428.55,85.0,36426.75,2023-03-05,Electronics,10.0,California,C0299
P0054,387.85,83.0,32191.550000000003,2023-07-12,Food,15.0,New York,C0222
P0051,319.02,71.0,22650.42,2023-04-07,Electronics,20.0,New York,C0292
P0089,431.33,8.0,3450.64,2023-07-30,Food,10.0,New York,C0178
P0099,483.43,24.0,11602.32,2023-10-20,Accessories,0.0,Illinois,C0109
P0023,436.87,57.0,24901.59,2023-08-28,Furniture,5.0,Texas,C0117
P0062,173.95,54.0,9393.3,2023-10-22,Furniture,,Illinois,C0292
P0021,91.62,52.0,4764.24,2023-02-01,Accessories,10.0,Illinois,C0278
P0068,169.87,63.0,10701.81,2023-08-21,Furniture,0.0,New York,C0230
P0078,190.24,3.0,570.72,2023-01-20,Furniture,20.0,Illinois,C0083
P0094,22.28,11.0,245.08,2023-10-11,Clothing,0.0,Illinois,C0289
P0062,71.34,41.0,2924.94,2023-09-30,,10.0,Texas,C0258
P0038,382.96,49.0,18765.039999999997,2023-11-15,Accessories,5.0,California,C0025
P0098,320.08,79.0,25286.32,2023-11-21,Furniture,15.0,New York,C0270
P0009,246.2,,14279.599999999999,2023-09-17,Clothing,10.0,New York,C0282
P0046,368.84,95.0,35039.799999999996,2023-11-20,Accessories,5.0,New York,C0215
P0048,192.39,86.0,16545.539999999997,2023-09-01,Clothing,0.0,California,C0123
P0090,317.59,73.0,23184.07,2023-04-28,Furniture,0.0,New York,C0118
P0100,16.9,52.0,878.8,2023-06-28,Clothing,,Texas,C0011
P0088,,48.0,14832.48,2023-03-03,Furniture,5.0,Illinois,C0170
